level_index	freq_index	freq_hz	level_dbfs	thd_pct	margin_db	masked	clear	corroborated
1	4	58.940807758530966	-42.857142857142854	0.00659906308080674	2.1478351523784767	0	0	0
1	5	77.22583366968192	-42.857142857142854	0.007210891604815601	1.2752672829675191	0	0	0
1	6	101.18336705547074	-42.857142857142854	0.01009634910705378	1.8315945770282553	0	0	0
1	7	132.5731725017491	-42.857142857142854	0.009007350603485245	-0.015384624585536244	0	0	0
1	8	173.7009409614052	-42.857142857142854	0.011120985995507031	2.0897833586591332	0	0	0
1	9	227.5876508158505	-42.857142857142854	0.01072176965638458	0.9005962009257331	0	0	0
1	10	298.1914692988688	-42.857142857142854	0.013791941156383504	0.2304877226000599	0	0	0
1	11	390.6984937182078	-42.857142857142854	0.01687916746100204	1.7098387454160786	0	0	0
1	12	511.903688434106	-42.857142857142854	0.0187501742755944	0.9258243530083661	0	0	0
1	13	670.7099987476357	-42.857142857142854	0.02193404185360313	0.45721452128120177	0	0	0
1	14	878.7823033589261	-42.857142857142854	0.025414068544708075	2.9074581082725928	0	0	0
1	15	1151.4042404896254	-42.857142857142854	0.03298042658254245	2.4373615850446413	0	0	0
1	16	1508.6008445438788	-42.857142857142854	0.03280888879130058	-0.10842961002533968	0	0	0
1	17	1976.609454895447	-42.857142857142854	0.035586747124091204	0.8996957033464099	0	0	0
1	18	2589.806940193875	-42.857142857142854	0.03788523017968691	1.9412644176308191	0	0	0
1	19	3393.234799552818	-42.857142857142854	0.02955593998559838	0.6254872032961458	0	0	0
1	20	4445.907618130911	-42.857142857142854	0.039532713516050186	1.5835069760162668	0	0	0
1	21	5825.14789473436	-42.857142857142854	0.02779081004309588	1.9448230832090445	0	0	0
1	22	7632.2656496838235	-42.857142857142854	0.008561260932032879	-6.60629457927493	0	0	0
1	23	10000.0	-42.857142857142854	0.044593089864594454	-7.83492133563071	1	0	0
2	0	20.0	-37.714285714285715	4.10048921669427	-6.108641492721038	1	0	0
2	1	26.20453862324424	-37.714285714285715	0.032174014985476417	-23.52781761720469	0	0	0
2	2	34.33389222285494	-37.714285714285715	0.006228197087610573	-9.261905476271835	0	0	0
2	3	44.985190242005366	-37.714285714285715	0.006137821857410781	7.25384384429843	0	1	1
2	4	58.940807758530966	-37.714285714285715	0.00590999396252651	6.33182255740337	0	1	1
2	5	77.22583366968192	-37.714285714285715	0.007127577484301598	6.316082726543073	0	1	1
2	6	101.18336705547074	-37.714285714285715	0.0064741242304900805	3.113696628839378	0	0	0
2	7	132.5731725017491	-37.714285714285715	0.008298728993023443	4.414747290751066	0	0	0
2	8	173.7009409614052	-37.714285714285715	0.008535448168372413	4.933119469857431	0	0	0
2	9	227.5876508158505	-37.714285714285715	0.007239105409408809	2.630883476473528	0	0	0
2	10	298.1914692988688	-37.714285714285715	0.007704428540792862	0.31475524162311785	0	0	0
2	11	390.6984937182078	-37.714285714285715	0.010891429774591064	3.046167402488905	0	0	0
2	12	511.903688434106	-37.714285714285715	0.012628603962530505	2.6345366420209047	0	0	0
2	13	670.7099987476357	-37.714285714285715	0.013912322016409467	1.64494249026815	0	0	0
2	14	878.7823033589261	-37.714285714285715	0.012344671477695036	1.7775294667566328	0	0	0
2	15	1151.4042404896254	-37.714285714285715	0.013731301268435176	-0.03107392303697054	0	0	0
2	16	1508.6008445438788	-37.714285714285715	0.014707763725671657	-1.9356252816892265	0	0	0
2	17	1976.609454895447	-37.714285714285715	0.019624820218243237	0.8716727402141373	0	0	0
2	18	2589.806940193875	-37.714285714285715	0.020863403582910032	1.9007804746806727	0	0	0
2	19	3393.234799552818	-37.714285714285715	0.02555606922632312	4.505745162232813	0	0	0
2	20	4445.907618130911	-37.714285714285715	0.022243773711461787	1.7299479914114784	0	0	0
2	21	5825.14789473436	-37.714285714285715	0.025891209621254584	6.471872823912136	0	1	0
2	22	7632.2656496838235	-37.714285714285715	0.008719798504672032	-1.3066873272122876	0	0	0
2	23	10000.0	-37.714285714285715	0.050557606237026084	-1.5982236211588798	1	0	0
3	0	20.0	-32.57142857142857	4.101578630518059	-6.106334140849405	1	0	0
