freq_hz	exact_dbc	moved_dbc
20.5078125	-144.55108326378306	-79.14673411291561
20.5535888671875	-126.90540929139297	-79.18241637539766
20.599365234375	-135.88923667385836	-79.1391037318511
20.6451416015625	-138.8974224068352	-79.14154428218492
20.69091796875	-131.9036572219186	-79.13609953267016
20.7366943359375	-130.54669392425063	-79.15324093145719
20.782470703125	-141.91534861696024	-79.15161707996359
20.8282470703125	-134.1922055633833	-79.14623678366907
20.8740234375	-142.46162828859272	-79.14230150939835
20.9197998046875	-134.5760418233692	-79.15718313245038
20.965576171875	-137.36433048781714	-79.15415156991924
21.0113525390625	-133.6296821757708	-79.14545466101967
21.05712890625	-139.57222251984953	-79.13760252181874
21.1029052734375	-137.39925913004978	-79.13168895351802
21.148681640625	-143.10969902044224	-79.14517709574949
21.1944580078125	-139.06209664344888	-79.13243357551985
21.240234375	-131.62250678746284	-79.14443751578142
21.2860107421875	-129.95173109338623	-79.12862354737867
21.331787109375	-135.32952032132656	-79.13634211969723
21.3775634765625	-136.70780978993162	-79.1403293513685
21.42333984375	-142.58189225288294	-79.14233837373716
21.4691162109375	-146.08277623571718	-79.13436638984368
21.514892578125	-131.2552726780161	-79.11381719780681
21.5606689453125	-141.16417173259603	-79.1384036683408
21.6064453125	-141.84692207497812	-79.1365430758188
21.6522216796875	-129.37587988424917	-79.10624777103257
21.697998046875	-142.93813267111696	-79.13750734452883
21.7437744140625	-139.00376103752131	-79.12369970077101
21.78955078125	-130.16163887775102	-79.10718848558233
21.8353271484375	-138.63718013327664	-79.12067829699362
21.881103515625	-135.55059132013264	-79.1402612385387
21.9268798828125	-132.48350284644965	-79.12832660677752
21.97265625	-141.1095137377263	-79.12552123808948
22.0184326171875	-131.77281869563055	-79.11341526733176
22.064208984375	-149.22124864383088	-79.12330514747003
22.1099853515625	-135.54135659043786	-79.13395963815366
22.15576171875	-135.9158086633617	-79.13600235538975
22.2015380859375	-135.21905350271993	-79.11296873854684
22.247314453125	-137.12227164830892	-79.11968203777373
22.2930908203125	-141.94247797205833	-79.12178927228935
22.3388671875	-143.12778183700854	-79.11825443471825
22.3846435546875	-132.57066865521463	-79.13697615588676
22.430419921875	-137.0599554278731	-79.10877607652644
22.4761962890625	-133.99371760929537	-79.13387947338221
22.52197265625	-137.89838013907993	-79.10973012499947
22.5677490234375	-150.75849470437316	-79.11538071883561
22.613525390625	-136.3853087436262	-79.12683243892518
22.6593017578125	-140.7332933811484	-79.1121235089363
22.705078125	-138.09094736607983	-79.11364044036371
22.7508544921875	-140.87057087139516	-79.12075534894475
22.796630859375	-132.79954138403397	-79.09572855232318
22.8424072265625	-131.86728207083655	-79.09285570587332
22.88818359375	-134.8404580586197	-79.11809255122225
22.9339599609375	-135.11375349202297	-79.12222683131237
22.979736328125	-131.83673175024882	-79.12180542289369
23.0255126953125	-139.07845100570125	-79.10122617471455
23.0712890625	-132.27244490619856	-79.12720734075808
23.1170654296875	-132.7282856580103	-79.12424837657272
23.162841796875	-149.34570041170926	-79.10877433834685
23.2086181640625	-142.6727191584852	-79.11062826210818
23.25439453125	-139.8026892787122	-79.10416019319267
23.3001708984375	-135.85834712120396	-79.09285652449458
23.345947265625	-141.38124762293305	-79.10745972162975
23.3917236328125	-143.8833530609389	-79.1074818832046
23.4375	-131.46009139632855	-79.08384941103456
23.4832763671875	-130.74594544530808	-79.09609483604407
23.529052734375	-141.4485515201438	-79.1067983913443
23.5748291015625	-134.61048387638715	-79.09174339560082
23.62060546875	-138.99998884838175	-79.09709620356898
23.6663818359375	-132.92221262207082	-79.11178648905377
23.712158203125	-152.37430965355807	-79.09528527545655
23.7579345703125	-134.29303159898876	-79.09125169313884
23.8037109375	-136.5343290452286	-79.09460906836686
23.8494873046875	-143.68598199863726	-79.08959657974792
23.895263671875	-140.9672831252649	-79.0985525423111
23.9410400390625	-135.1452831572654	-79.08132043852122
23.98681640625	-149.75182211973944	-79.09217613636383
24.0325927734375	-136.73744209729082	-79.09230687597011
24.078369140625	-147.28143377400698	-79.09352255309055
24.1241455078125	-140.24438093092618	-79.09637960696232
24.169921875	-135.5001206261096	-79.07587896104812
24.2156982421875	-145.42269891608552	-79.08360489120797
24.261474609375	-138.1024307983036	-79.08718175442479
24.3072509765625	-130.85110531960567	-79.06578041459694
24.35302734375	-132.28345716267089	-79.10253928233267
24.3988037109375	-143.51518877570703	-79.08801387531688
24.444580078125	-130.98201780874	-79.07741323877086
24.4903564453125	-131.3951166959548	-79.06359755129492
24.5361328125	-141.93703120143394	-79.0771114877015
24.5819091796875	-141.85653676703114	-79.08711999594273
24.627685546875	-135.15606566927664	-79.07034715260822
24.6734619140625	-138.63248249492042	-79.08590798473935
24.71923828125	-145.40018040515423	-79.07439395967621
24.7650146484375	-145.29351750259576	-79.08117146185486
24.810791015625	-138.49579737579936	-79.07179581372782
24.8565673828125	-145.40159747256925	-79.07815853531065
24.90234375	-138.869539022694	-79.0670770799015
24.9481201171875	-137.5412250041086	-79.0819205621445
24.993896484375	-135.71018477995298	-79.07015420385564
