bin	sine	shifted_sine	clipper_input	clipper_shifted_output
180	-0.478617848777	-0.48366741029	-0.478617848777	-0.746851498363
181	-0.481455064161	-0.480089505425	-0.481455064161	-0.743497604363
182	-0.484820708041	-0.477213344627	-0.484820708041	-0.74109227006
183	-0.487069922418	-0.473079087978	-0.487069922418	-0.737177226102
184	-0.489849529963	-0.469623512822	-0.489849529963	-0.734183669844
185	-0.491518987995	-0.464939653692	-0.491518987995	-0.729681531715
186	-0.493702188259	-0.460895384874	-0.493702188259	-0.726050916727
187	-0.49477604615	-0.45567315616	-0.49477604615	-0.72092912638
188	-0.495924943199	-0.450592775485	-0.495924943199	-0.716016652311
189	-0.497277810219	-0.445766483651	-0.497277810219	-0.711475753173
190	-0.497393035716	-0.439679521804	-0.497393035716	-0.705256004852
191	-0.498139789998	-0.434312627393	-0.498139789998	-0.700010404876
192	-0.497665515203	-0.427729552056	-0.497665515203	-0.693091843317
193	-0.497808683481	-0.421820805527	-0.497808683481	-0.687085625162
194	-0.496739367942	-0.414739458327	-0.496739367942	-0.679406442569
195	-0.496271561558	-0.408307349341	-0.496271561558	-0.672595426564
196	-0.494618821813	-0.400765579686	-0.494618821813	-0.664137152337
197	-0.493074168249	-0.393379525157	-0.493074168249	-0.655819865508
198	-0.491765871333	-0.386232217709	-0.491765871333	-0.647782744699
199	-0.489151525604	-0.377939113858	-0.489151525604	-0.637933822732
200	-0.487260045538	-0.370342723238	-0.487260045538	-0.629014451866
201	-0.484072783622	-0.361621501157	-0.484072783622	-0.618255989706
202	-0.48157629762	-0.353547331837	-0.48157629762	-0.608344423829
203	-0.477820144589	-0.344427603981	-0.477820144589	-0.596640941085
204	-0.47473913144	-0.335918567988	-0.47473913144	-0.585720981351
205	-0.470426976201	-0.326414328157	-0.470426976201	-0.573024810122
206	-0.466751969175	-0.317465100728	-0.466751969175	-0.561016258649
207	-0.461893429729	-0.307610570605	-0.461893429729	-0.547305146252
208	-0.457173410178	-0.297903563867	-0.457173410178	-0.533594514043
209	-0.452707600475	-0.288401566213	-0.452707600475	-0.519991775697
210	-0.446970515599	-0.277988847391	-0.446970515599	-0.504584909108
211	-0.441955498639	-0.268137547401	-0.441955498639	-0.489864387909
212	-0.435712302765	-0.257439768494	-0.435712302765	-0.473399002575
213	-0.430146982791	-0.247234606129	-0.430146982791	-0.457505629386
214	-0.423395321358	-0.236253549865	-0.423395321358	-0.439943923359
215	-0.417296624249	-0.225733765141	-0.417296624249	-0.422899423232
216	-0.410073003986	-0.214521900717	-0.410073003986	-0.404299697359
217	-0.403003465008	-0.20343793188	-0.403003465008	-0.385617444227
218	-0.396176586124	-0.192487710681	-0.396176586124	-0.36687983222
219	-0.388180924402	-0.180914778656	-0.388180924402	-0.346674122276
220	-0.380892675138	-0.169748805167	-0.380892675138	-0.326924210077
221	-0.372456228187	-0.157989529892	-0.372456228187	-0.305759131059
222	-0.364677948102	-0.146581457917	-0.364677948102	-0.284969587054
223	-0.355828943402	-0.134682947148	-0.355828943402	-0.262962116047
224	-0.347602419735	-0.123085693161	-0.347602419735	-0.241267553037
225	-0.338350073195	-0.111048283971	-0.338350073195	-0.218470085643
226	-0.329662710663	-0.0992604159176	-0.329662710663	-0.195923619864
227	-0.320056086637	-0.0871561039459	-0.320056086637	-0.172542090416
228	-0.310584050976	-0.0751203114379	-0.310584050976	-0.149101522373
