order	f0_hz	mag_db	expected_db	valid
9	55.65607948687654	-83.75673245122604	-83.75672603566493	1
9	62.97829251927601	-83.7567272658365	-83.75672603566493	1
9	71.26382895113416	-83.75672728530431	-83.75672603566493	1
9	80.63942532614878	-83.75672726069787	-83.75672603566493	1
9	91.24849187363274	-83.75672694046015	-83.75672603566493	1
9	103.25330612831728	-83.7567262600414	-83.75672603566493	1
9	116.83749514668631	-83.75672602583853	-83.75672603566493	1
9	132.2088442881166	-83.75672626705241	-83.75672603566493	1
9	149.60247552427265	-83.75672596765048	-83.75672603566493	1
9	169.2844438925503	-83.75672608003012	-83.75672603566493	1
9	191.55580710534733	-83.75672611601303	-83.75672603566493	1
9	216.75723056438406	-83.75672601413834	-83.75672603566493	1
9	245.27419821891658	-83.75672603499723	-83.75672603566493	1
9	277.5429089737472	-83.75672605413995	-83.75672603566493	1
9	314.05694883918255	-83.75672608037215	-83.75672603566493	1
9	355.3748408809335	-83.75672588094211	-83.75672603566493	1
9	402.12858845488597	-83.75672585840488	-83.75672603566493	1
9	455.0333424050646	-83.75672608841674	-83.75672603566493	1
9	514.898340095394	-83.75672611259407	-83.75672603566493	1
9	582.6392835999818	-83.75672614358636	-83.75672603566493	1
9	659.2923463901776	-83.75672619654986	-83.75672603566493	1
9	746.0300227663528	-83.75672548428864	-83.75672603566493	1
9	844.1790624691791	-83.75672573272752	-83.75672603566493	1
9	955.2407648003342	-83.75672554528934	-83.75672603566493	1
9	1080.9139426739125	-83.75672643980701	-83.75672603566493	1
9	1223.1209078593693	-83.7567260130889	-83.75672603566493	1
9	1384.0368748893488	-83.7567261597003	-83.75672603566493	1
9	1566.1232333980508	-83.75672606222429	-83.75672603566493	1
9	1772.1651978277387	-83.75672590843325	-83.75672603566493	1
9	2005.314410397745	-83.75672595485035	-83.75672603566493	1
9	2269.137148996054	-83.75672618685171	-83.75672603566493	1
9	2567.668877386994	-83.75672593790078	-83.75672603566493	1
9	2905.4759721415326	-83.7567260300385	-83.75672603566493	1
9	3287.725570472562	-83.75672670673971	-83.75672603566493	1
9	3720.264607375867	-83.75699184713233	-83.75672603566493	1
9	4209.709251038291	-83.7567163345357	-83.75672603566493	1
9	4763.546104527652	-83.20300650201321	-83.75672603566493	1
9	5390.2467217572985	nan	-83.75672603566493	0
9	6099.397189375245	nan	-83.75672603566493	0
9	6901.844756677489	nan	-83.75672603566493	0
9	7809.863756414217	nan	-83.75672603566493	0
9	8837.343354433064	nan	-83.75672603566493	0
9	10000.0	nan	-83.75672603566493	0
