hardclip_k_dbfs	hardclip_sse	under_k_dbfs	under_sse
-46.1801897321	35.9888767694	-46.1801897321	0.193872101498
-46.1267857143	35.951298146	-46.1267857143	0.194421448588
-46.0733816964	35.9139419458	-46.0733816964	0.194973404941
-46.0199776786	35.876809446	-46.0199776786	0.19552791987
-45.9665736607	35.8399018848	-45.9665736607	0.196084942716
-45.9131696429	35.8032204618	-45.9131696429	0.196644422858
-45.859765625	35.7667663377	-45.859765625	0.197206309726
-45.8063616071	35.7305406349	-45.8063616071	0.197770552807
-45.7529575893	35.6945444371	-45.7529575893	0.198337101662
-45.6995535714	35.6587787897	-45.6995535714	0.19890590593
-45.6461495536	35.6232447002	-45.6461495536	0.199476915341
-45.5927455357	35.5879431376	-45.5927455357	0.200050079727
-45.5393415179	35.5528750334	-45.5393415179	0.200625349031
-45.4859375	35.5180412811	-45.4859375	0.201202673316
-45.4325334821	35.4834427368	-45.4325334821	0.201782002776
-45.3791294643	35.4490802194	-45.3791294643	0.202363287744
-45.3257254464	35.4149545103	-45.3257254464	0.202946478703
-45.2723214286	35.3810663543	-45.2723214286	0.203531526293
-45.2189174107	35.3474164593	-45.2189174107	0.204118381323
-45.1655133929	35.3140054966	-45.1655133929	0.204706994775
-45.112109375	35.2751841192	-45.112109375	0.205236134477
-45.0587053571	35.2324012859	-45.0587053571	0.205722922193
-45.0053013393	35.1898116915	-45.0053013393	0.206212688185
-44.9518973214	35.1474174344	-44.9518973214	0.206705393492
-44.8984933036	35.1052205806	-44.8984933036	0.207200998938
-44.8450892857	35.0632231636	-44.8450892857	0.207699465137
-44.7916852679	35.0214271839	-44.7916852679	0.208200752509
-44.73828125	34.9798346091	-44.73828125	0.208704821283
-44.6848772321	34.9384473731	-44.6848772321	0.209211631513
-44.6314732143	34.8972673766	-44.6314732143	0.209721143078
-44.5780691964	34.8562964863	-44.5780691964	0.210233315701
-44.5246651786	34.815536535	-44.5246651786	0.210748108949
-44.4712611607	34.7749893212	-44.4712611607	0.211265482251
-44.4178571429	34.7346566092	-44.4178571429	0.211785394898
-44.364453125	34.6945401287	-44.364453125	0.212307806062
-44.3110491071	34.6546415747	-44.3110491071	0.212832674795
-44.2576450893	34.6149626076	-44.2576450893	0.213359960045
-44.2042410714	34.5755048525	-44.2042410714	0.213889620665
-44.1508370536	34.5362698997	-44.1508370536	0.214421615416
-44.0974330357	34.4972593043	-44.0974330357	0.214955902982
-44.0440290179	34.4584745861	-44.0440290179	0.215492441977
-43.990625	34.4199172295	-43.990625	0.216031190954
-43.9372209821	34.3815886837	-43.9372209821	0.21657210841
-43.8838169643	34.3434903621	-43.8838169643	0.217115152803
-43.8304129464	34.3056236428	-43.8304129464	0.217660282554
-43.7770089286	34.2679898683	-43.7770089286	0.218207456055
-43.7236049107	34.2305903454	-43.7236049107	0.218756631683
-43.6702008929	34.1934263455	-43.6702008929	0.219307767805
-43.616796875	34.1564991041	-43.616796875	0.219860822786
-43.5633928571	34.1198098213	-43.5633928571	0.220415755001
-43.5099888393	34.0833596616	-43.5099888393	0.220972522837
-43.4565848214	34.0417071556	-43.4565848214	0.221474034639
-43.4031808036	33.9957119269	-43.4031808036	0.221930631745
-43.3497767857	33.949897508	-43.3497767857	0.22239008157
-43.2963727679	33.9042664168	-43.2963727679	0.222852354107
-43.24296875	33.8588211461	-43.24296875	0.223317419059
-43.1895647321	33.8135641633	-43.1895647321	0.223785245845
-43.1361607143	33.7684979097	-43.1361607143	0.224255803605
-43.0827566964	33.7236248001	-43.0827566964	0.224729061208
-43.0293526786	33.6789472225	-43.0293526786	0.225204987259
-42.9759486607	33.6344675375	-42.9759486607	0.225683550104
-42.9225446429	33.5901880783	-42.9225446429	0.22616471784
-42.869140625	33.5461111497	-42.869140625	0.226648458317
-42.8157366071	33.5022390283	-42.8157366071	0.227134739149
-42.7623325893	33.4585739619	-42.7623325893	0.22762352772
-42.7089285714	33.4151181688	-42.7089285714	0.228114791191
-42.6555245536	33.3718738381	-42.6555245536	0.228608496504
-42.6021205357	33.3288431289	-42.6021205357	0.229104610395
-42.5487165179	33.2860281701	-42.5487165179	0.229603099396
-42.4953125	33.24343106	-42.4953125	0.230103929844
-42.4419084821	33.2010538661	-42.4419084821	0.230607067889
-42.3885044643	33.1588986249	-42.3885044643	0.231112479499
-42.3351004464	33.1169673412	-42.3351004464	0.231620130469
-42.2816964286	33.0752619883	-42.2816964286	0.23212998643
-42.2282924107	33.0337845072	-42.2282924107	0.232642012851
-42.1748883929	32.992536807	-42.1748883929	0.23315617505
-42.121484375	32.9515207642	-42.121484375	0.233672438203
-42.0680803571	32.9107382222	-42.0680803571	0.234190767346
-42.0146763393	32.870190992	-42.0146763393	0.234711127387
-41.9612723214	32.8298808509	-41.9612723214	0.235233483111
-41.9078683036	32.7898095431	-41.9078683036	0.235757799188
-41.8544642857	32.7499787791	-41.8544642857	0.236284040181
-41.8010602679	32.7051307296	-41.8010602679	0.236758936281
-41.74765625	32.6555168425	-41.74765625	0.237186296454
-41.6942522321	32.6060709517	-41.6942522321	0.237616427263
-41.6408482143	32.5567960391	-41.6408482143	0.238049306062
-41.5874441964	32.5076950698	-41.5874441964	0.238484909865
-41.5340401786	32.4587709918	-41.5340401786	0.238923215353
-41.4806361607	32.4100267349	-41.4806361607	0.239364198872
-41.4272321429	32.3614652106	-41.4272321429	0.239807836445
-41.373828125	32.3130893112	-41.373828125	0.240254103767
-41.3204241071	32.2649019095	-41.3204241071	0.240702976218
-41.2670200893	32.216905858	-41.2670200893	0.241154428864
-41.2136160714	32.1691039882	-41.2136160714	0.24160843646
-41.1602120536	32.1214991108	-41.1602120536	0.242064973456
-41.1068080357	32.074094014	-41.1068080357	0.242524014004
-41.0534040179	32.026891464	-41.0534040179	0.24298553196
-41	31.979894204	-41	0.243449500889
-40.9465959821	31.9331049534	-40.9465959821	0.243915894071
-40.8931919643	31.886526408	-40.8931919643	0.244384684508
-40.8397879464	31.8401612387	-40.8397879464	0.244855844925
-40.7863839286	31.7940120916	-40.7863839286	0.245329347778
-40.7329799107	31.7480815871	-40.7329799107	0.245805165261
-40.6795758929	31.7023723195	-40.6795758929	0.246283269307
-40.626171875	31.6568868569	-40.626171875	0.246763631596
-40.5727678571	31.61162774	-40.5727678571	0.247246223561
-40.5193638393	31.5665974821	-40.5193638393	0.247731016394
-40.4659598214	31.5217985688	-40.4659598214	0.248217981049
-40.4125558036	31.477233457	-40.4125558036	0.248707088251
-40.3591517857	31.4329045748	-40.3591517857	0.2491983085
-40.3057477679	31.3888143212	-40.3057477679	0.249691612077
-40.25234375	31.3449650652	-40.25234375	0.25018696905
-40.1989397321	31.301359146	-40.1989397321	0.250684349282
-40.1455357143	31.2529037969	-40.1455357143	0.251134028486
-40.0921316964	31.1992108705	-40.0921316964	0.251533446933
-40.0387276786	31.1456722102	-40.0387276786	0.251935585962
-39.9853236607	31.0922913259	-39.9853236607	0.252340429197
-39.9319196429	31.0390717208	-39.9319196429	0.252747959891
-39.878515625	30.9860168911	-39.878515625	0.253158160928
-39.8251116071	30.9331303251	-39.8251116071	0.253571014826
-39.7717075893	30.8804155025	-39.7717075893	0.253986503738
-39.7183035714	30.8278758938	-39.7183035714	0.254404609452
-39.6648995536	30.7755149594	-39.6648995536	0.2548253134
-39.6114955357	30.723336149	-39.6114955357	0.25524859665
-39.5580915179	30.6713429011	-39.5580915179	0.255674439919
-39.5046875	30.6195386418	-39.5046875	0.256102823567
-39.4512834821	30.5679267846	-39.4512834821	0.256533727605
-39.3978794643	30.5165107293	-39.3978794643	0.256967131695
-39.3444754464	30.4652938615	-39.3444754464	0.257403015154
-39.2910714286	30.4142795518	-39.2910714286	0.257841356956
-39.2376674107	30.3634711552	-39.2376674107	0.258282135737
-39.1842633929	30.3128720104	-39.1842633929	0.258725329795
-39.130859375	30.2624854388	-39.130859375	0.259170917098
-39.0774553571	30.2123147443	-39.0774553571	0.259618875281
-39.0240513393	30.1623632122	-39.0240513393	0.260069181656
