t_ms	level_dbfs
209.083333333	-40.1714285714
209.166666667	-40.1714285714
209.25	-40.1714285714
209.333333333	-40.1714285714
209.416666667	-40.1714285714
209.5	-40.1714285714
209.583333333	-40.1714285714
209.666666667	-40.1714285714
209.75	-40.1714285714
209.833333333	-40.1714285714
209.916666667	-40.1714285714
210	-40.1714285714
210.083333333	-40.1714285714
210.166666667	-40.1714285714
210.25	-40.1714285714
210.333333333	-40.1714285714
210.416666667	-40.1714285714
210.5	-40.1714285714
210.583333333	-40.1714285714
210.666666667	-40.1714285714
210.75	-40.1714285714
210.833333333	-40.1714285714
210.916666667	-40.1714285714
211	-40.1714285714
211.083333333	-40.1714285714
211.166666667	-40.1714285714
211.25	-40.1714285714
211.333333333	-40.1714285714
211.416666667	-40.1714285714
211.5	-40.1714285714
211.583333333	-40.1714285714
211.666666667	-40.1714285714
211.75	-40.1714285714
211.833333333	-40.1714285714
211.916666667	-40.1714285714
212	-40.1714285714
212.083333333	-40.1714285714
212.166666667	-40.1714285714
212.25	-40.1714285714
212.333333333	-40.1714285714
212.416666667	-40.1714285714
212.5	-40.1714285714
212.583333333	-40.1714285714
212.666666667	-40.1714285714
212.75	-40.1714285714
212.833333333	-40.1714285714
212.916666667	-40.1714285714
213	-40.1714285714
213.083333333	-40.1714285714
213.166666667	-40.1714285714
213.25	-40.1714285714
213.333333333	-40.1714285714
213.416666667	-40.1714285714
213.5	-40.1714285714
213.583333333	-40.1714285714
213.666666667	-40.1714285714
213.75	-40.1714285714
213.833333333	-40.1714285714
213.916666667	-40.1714285714
214	-40.1714285714
214.083333333	-40.1714285714
214.166666667	-40.1714285714
214.25	-40.1714285714
214.333333333	-40.1714285714
214.416666667	-40.1714285714
214.5	-40.1714285714
214.583333333	-40.1714285714
214.666666667	-40.1714285714
214.75	-40.1714285714
214.833333333	-40.1714285714
214.916666667	-40.1714285714
215	-40.1714285714
215.083333333	-40.1714285714
215.166666667	-40.1714285714
215.25	-40.1714285714
215.333333333	-40.1714285714
215.416666667	-40.1714285714
215.5	-40.1714285714
215.583333333	-40.1714285714
215.666666667	-40.1714285714
215.75	-40.1714285714
215.833333333	-40.1714285714
215.916666667	-40.1714285714
216	-40.1714285714
216.083333333	-40.1714285714
216.166666667	-40.1714285714
216.25	-40.1714285714
216.333333333	-40.1714285714
216.416666667	-40.1714285714
216.5	-40.1714285714
216.583333333	-40.1714285714
216.666666667	-40.1714285714
216.75	-40.1714285714
216.833333333	-40.1714285714
216.916666667	-40.1714285714
217	-40.1714285714
217.083333333	-40.1714285714
217.166666667	-40.1714285714
217.25	-40.1714285714
217.333333333	-40.1714285714
217.416666667	-40.1714285714
217.5	-40.1714285714
217.583333333	-40.1714285714
217.666666667	-40.1714285714
217.75	-40.1714285714
217.833333333	-40.1714285714
217.916666667	-40.1714285714
218	-40.1714285714
218.083333333	-40.1714285714
218.166666667	-40.1714285714
218.25	-40.1714285714
218.333333333	-40.1714285714
218.416666667	-40.1714285714
218.5	-40.1714285714
218.583333333	-40.1714285714
218.666666667	-40.1714285714
218.75	-40.1714285714
218.833333333	-40.1714285714
218.916666667	-40.1714285714
219	-40.1714285714
219.083333333	-40.1714285714
219.166666667	-40.1714285714
219.25	-40.1714285714
219.333333333	-40.1714285714
219.416666667	-40.1714285714
219.5	-40.1714285714
219.583333333	-40.1714285714
219.666666667	-40.1714285714
219.75	-40.1714285714
219.833333333	-40.1714285714
219.916666667	-40.1714285714
220	-40.1714285714
220.083333333	-40.1714285714
220.166666667	-40.1714285714
220.25	-40.1714285714
220.333333333	-40.1714285714
220.416666667	-40.1714285714
220.5	-40.1714285714
