order	f0_hz	py_minus_swift_db	py_minus_analytic_db	swift_minus_analytic_db
7	3720.26460738	2.0605739337e-12	1.14880136692e-06	1.14879930635e-06
7	4209.70925104	8.31335000839e-13	-4.71013738448e-05	-4.71013746761e-05
7	4763.54610453	9.16600129131e-13	0.000613301931644	0.000613301930727
7	5390.24672176	-1.80477854883e-12	-0.0184376222855	-0.0184376222837
7	6099.39718938	1.32160948851e-12	-0.299287611772	-0.299287611774
9	30	2.21689333557e-12	-3.06932816443e-05	-3.06932838612e-05
9	33.9468534794	-7.24753590475e-13	8.30077773628e-05	8.30077780876e-05
9	38.4129620384	-1.29318777908e-12	-1.54107572286e-05	-1.54107559354e-05
9	43.4666398009	2.48689957516e-12	1.60305199444e-05	1.60305174575e-05
9	49.1851884187	2.30215846386e-12	-5.50730931081e-07	-5.5073323324e-07
9	55.6560794869	4.51905179943e-12	-6.41545827307e-06	-6.41546279212e-06
9	62.9782925193	3.32534000336e-12	-1.23006873309e-06	-1.23007205843e-06
9	71.2638289511	1.35003119794e-12	-1.24953653824e-06	-1.24953788827e-06
9	80.6394253261	1.76214598469e-12	-1.22493010224e-06	-1.22493186439e-06
9	91.2484918736	-1.25055521494e-12	-9.04692385006e-07	-9.04691134451e-07
9	103.253306128	-9.66338120634e-13	-2.24273634331e-07	-2.24272667992e-07
9	116.837495147	3.12638803734e-12	9.92923787635e-09	9.92611148831e-09
9	132.208844288	1.9610979507e-12	-2.31284644769e-07	-2.31286605867e-07
9	149.602475524	6.97752966516e-12	6.81172878103e-08	6.81103102806e-08
9	169.284443893	-1.47792889038e-12	-4.42623502295e-08	-4.42608723006e-08
9	191.555807105	5.52802248421e-12	-8.02452575499e-08	-8.02507855724e-08
9	216.757230564	6.8212102633e-12	2.16294324673e-08	2.1622611257e-08
9	245.274198219	-3.28270743921e-12	7.70540964368e-10	7.73823671807e-10
9	277.542908974	-8.38440428197e-13	-1.83721766689e-08	-1.83713382285e-08
9	314.056948839	1.64845914696e-12	-4.46043770808e-08	-4.46060255399e-08
9	355.374840881	-6.05382410868e-12	1.54825656296e-07	1.5483171012e-07
9	402.128588455	3.0837554732e-12	1.77362892373e-07	1.77359808617e-07
9	455.033342405	4.63273863716e-12	-5.26489714048e-08	-5.26536041434e-08
9	514.898340095	-2.84217094304e-14	-7.68262964357e-08	-7.6826268014e-08
9	582.6392836	-7.95807864051e-13	-1.07818593165e-07	-1.07817797357e-07
9	659.29234639	-1.20508047985e-11	-1.60782093417e-07	-1.60770042612e-07
9	746.030022766	-1.42108547152e-13	5.51479132582e-07	5.51479274691e-07
9	844.179062469	1.4068746168e-12	3.03040252447e-07	3.03038845573e-07
9	955.2407648	-3.39639427693e-12	4.9047842765e-07	4.90481824045e-07
9	1080.91394267	4.12114786741e-12	-4.04039241175e-07	-4.04043362323e-07
9	1223.12090786	3.66640051652e-12	2.26788756663e-08	2.26752092658e-08
9	1384.03687489	3.53850282409e-12	-1.23932537122e-07	-1.23936075624e-07
9	1566.1232334	-1.74793512997e-12	-2.64565187535e-08	-2.64547708184e-08
9	1772.16519783	-9.10915787244e-12	1.27334516264e-07	1.27343625422e-07
