bin	input_E2	output_E2	input_A4	output_A4	input_C7	output_C7
115	0.14964887402404908	0.018409946005763813	0.14966962199561826	-0.4495059642983177	0.14962162329170506	-0.1270355378345666
116	0.1376947874590358	0.006233738495533376	0.13851571261318887	-0.4544803001654897	0.1379816542891354	-0.13874689894153158
117	0.12628664297895154	-0.005894152799947003	0.12655943690358368	-0.45910064311698173	0.12564947914750746	-0.14964881892262802
118	0.1142142291682751	-0.01803535520567212	0.11468235827386417	-0.4640163939269977	0.11416020212239372	-0.16147650957598506
119	0.10236136360187087	-0.03012811706962664	0.10331408803348079	-0.4682428128488169	0.10254178744143357	-0.1732720363289375
120	0.09069620296838529	-0.04231921224820925	0.09123931874563504	-0.47241361183172365	0.09054580100830631	-0.18444359271319988
121	0.07850237901959765	-0.054294154491647525	0.0789079953213495	-0.47519685802757045	0.07853317424237866	-0.19555248722661092
122	0.06667647012875658	-0.06648018005928574	0.06676636746833818	-0.47910701755241014	0.06667710105542973	-0.20707371701705787
123	0.054466939814782345	-0.07831385065900591	0.054474870168175246	-0.48199088797559214	0.054346453274927986	-0.21696158195350296
124	0.04252260059545056	-0.09045465364812699	0.042844793941651804	-0.48478082724302435	0.04237343108948203	-0.22814604380860326
125	0.030294457023109303	-0.10215993459208866	0.030515070771616182	-0.4869905920458903	0.030430725962289056	-0.23994828556052805
126	0.01823471058247586	-0.1142399103979517	0.018210165128792224	-0.4897591652265428	0.018183119881305807	-0.24935112934965012
127	0.006060498547223255	-0.12573994264792618	0.0065108513834258195	-0.4917622390466443	0.006073589689894883	-0.2601552516031812
128	-0.0060465199998708166	-0.13745199061763308	-0.005841866592909589	-0.4925609061098028	-0.006062579845124342	-0.2702953888377777
129	-0.018219245903817433	-0.14929975293671338	-0.01818354253911282	-0.4939329665736888	-0.0182030965318842	-0.2805456875001412
130	-0.030316345169442604	-0.16051681357965902	-0.030552301017299412	-0.49546458995923165	-0.030281052503604942	-0.2899528685496141
131	-0.04248964508357669	-0.17234471453471395	-0.042858970185778354	-0.4959405157267588	-0.042505351322786246	-0.3006186912305844
132	-0.054459001814841305	-0.18322109897233885	-0.05451046710787565	-0.4964780791018248	-0.05458615293878801	-0.31016390385146186
133	-0.0666387378358804	-0.19489089753162214	-0.06671953982220592	-0.4962200349020729	-0.06644230692052969	-0.3185199564431611
134	-0.07849132016588654	-0.2055038864203879	-0.07903758702945426	-0.49667822433805614	-0.07849747095839102	-0.3278870052381096
135	-0.09062141079310193	-0.2169572051167494	-0.09044135938159785	-0.4954376259067144	-0.09061549378447885	-0.3375593793692298
136	-0.10230950116105884	-0.2272689662907275	-0.10254013597345431	-0.4945717037207214	-0.10245652047752447	-0.34605981158312954
137	-0.11416861489885825	-0.23805199776236527	-0.11463614141523555	-0.4936971518521482	-0.1142747384964744	-0.3545300971863916
138	-0.12613768492806077	-0.24897265439372956	-0.12673280090888667	-0.49275552995750393	-0.12625228352006354	-0.363489915270429
139	-0.1375517757863955	-0.2588363349142796	-0.13858529743765907	-0.4908523258443842	-0.13753468479283348	-0.3704538019767718
140	-0.1495269701087878	-0.26978490787674836	-0.14982713100254152	-0.48909703977787067	-0.14914527020860435	-0.3783930811370354
141	-0.16066425945117174	-0.2791532211000474	-0.1614330769178688	-0.48641481509571227	-0.16140882449221083	-0.387883033406899
142	-0.17249678091444168	-0.2898010891992621	-0.17298573861763997	-0.4835755618840719	-0.172049598752318	-0.39348370400846167
143	-0.1833724438806082	-0.29877926362249324	-0.18396384562655027	-0.48098334740150406	-0.18367219900762313	-0.4013609186412529
144	-0.19502621521684427	-0.3090977179711125	-0.19529283408780848	-0.4775830318133425	-0.19511832123500794	-0.4088053180709876
145	-0.20564576670246495	-0.3176986605899125	-0.20673802712843017	-0.47450446395856105	-0.20563640924403853	-0.4143807515168027
146	-0.21710415746028008	-0.3276651790658934	-0.21806079597340972	-0.47107565122054196	-0.21661696406146275	-0.42088342978933874
