bin	input	output	ellipse_input	ellipse_output	residual
176	-0.46239742021491814	-0.7789424639234466	-0.46127854524780515	-0.8060551152236148	0.027112651300168267
177	-0.46712872347209833	-0.7768427015579963	-0.4656637767468695	-0.8064241949040515	0.0295814933460552
178	-0.47089018077123823	-0.7736826432318287	-0.46976850979911144	-0.8063078718315909	0.032625228599762246
179	-0.4746648433240325	-0.7705427529102683	-0.4735902718668264	-0.8057062160749024	0.035163463164634146
180	-0.47861784877692515	-0.7675948447491735	-0.4771267608634497	-0.8046195900489164	0.03702474529974287
181	-0.48145506416128975	-0.7634861613381501	-0.48037584654024756	-0.8030486482965196	0.0395624869583695
182	-0.48482070804137617	-0.7599503874806925	-0.48333557176949943	-0.8009943370942819	0.04104394961358937
183	-0.4870699224176602	-0.7553093996088378	-0.4860041537233985	-0.7984578938824562	0.04314849427361844
184	-0.4898495299628915	-0.7512389267697216	-0.48837998494796037	-0.7954408465195896	0.04420191974986798
185	-0.4915189879948394	-0.7460893380361754	-0.4904616343312935	-0.7919450123621987	0.04585567432602333
186	-0.4937021882590095	-0.7414931485366006	-0.4922478479656472	-0.7879724971700623	0.0464793486334617
187	-0.4947760461498625	-0.7358616742469475	-0.49373754990271906	-0.7835256938377901	0.047664019590842654
188	-0.495924943199138	-0.7303530345353564	-0.49492984280176555	-0.778607280953433	0.04825424641807663
189	-0.4972778102189575	-0.7250816982716246	-0.4958240084701271	-0.7732202211850013	0.048138522913376725
190	-0.4973930357159517	-0.7186869444746045	-0.4964195082958401	-0.7673677594958641	0.04868081502125965
191	-0.49813978999770336	-0.712958835421624	-0.49671598357207675	-0.7610534211901054	0.04809458576848147
192	-0.4976655152030448	-0.7061294725754828	-0.4967132557132164	-0.7542810097890122	0.048151537213529494
193	-0.49780868348065455	-0.6999395661540566	-0.4964113263624194	-0.7470546047399761	0.04711503858591948
194	-0.4967393679416889	-0.692666681902974	-0.49581037739063677	-0.7393785589591854	0.04671187705621138
195	-0.49627156155809016	-0.6860259226555137	-0.49491077078705814	-0.731257496209593	0.04523157355407936
196	-0.4946188218133558	-0.6783349464378765	-0.4937130484410631	-0.7226963083157331	0.04436136187785655
197	-0.4930741682488356	-0.6708000293751827	-0.49221793181580714	-0.7137001522170693	0.0429001228418866
198	-0.49176587133252925	-0.6635240042920197	-0.49042632151363913	-0.7042744468616474	0.040750442569627676
199	-0.4891515256036098	-0.6551086752709832	-0.48833929673361276	-0.6944248699419243	0.03931619467094116
200	-0.48726004553773966	-0.6474127527830836	-0.48595811462141647	-0.6841573544747367	0.036744601691653056
201	-0.48407278362183115	-0.6385553152162655	-0.4832842095121166	-0.6734780852274749	0.03492277001120936
202	-0.48157629761973847	-0.6303826404092282	-0.4803191920661671	-0.6623934949926098	0.0320108545833816
203	-0.4778201445885812	-0.6210819632651892	-0.4770648482992084	-0.6509102607128193	0.02982829744763016
