bin	input	output	truth
138	-0.12613768492806077	-0.24695761601393165	-0.2470563488747629
139	-0.1375517757863955	-0.2682162567992921	-0.26836727837713203
140	-0.1495269701087878	-0.2902941774838431	-0.29044659976260734
141	-0.16066425945117174	-0.31047692422088374	-0.31070768082372435
142	-0.17249678091444168	-0.3317027952006129	-0.33192812467850985
143	-0.1833724438806082	-0.3508101322765773	-0.3511412242835089
144	-0.19502621521684427	-0.3710901797809856	-0.3714054268318955
145	-0.20564576670246495	-0.3891187438044889	-0.38956875645448363
146	-0.21710415746028008	-0.4084101923707969	-0.4088322496571688
147	-0.22741251957775943	-0.42526824518755213	-0.4258571052295878
148	-0.23804525736056886	-0.44243624794222214	-0.44310717812166506
149	-0.24926040078174674	-0.46035326429511586	-0.46095305011149795
150	-0.2589920003684571	-0.47530455999306126	-0.47614256071476446
151	-0.26991040101647906	-0.49211073447655185	-0.49285230848591793
152	-0.2792849964847132	-0.5059005676253996	-0.5069156558518412
153	-0.29102023418085404	-0.5236376860270406	-0.5241469026113865
154	-0.3017754623127784	-0.5394115388899149	-0.5395715060039388
155	-0.31158706812766357	-0.5531918305540915	-0.5533341792185859
156	-0.32084254618188396	-0.5658580367124498	-0.5660458206237189
157	-0.3302940435942007	-0.578588523198546	-0.5787546494607322
158	-0.33915210561258186	-0.5901985981982498	-0.5904158491007022
159	-0.3479762230924105	-0.6015577292634873	-0.6017923484901206
160	-0.3568677672227475	-0.612813664910954	-0.6130139463141887
161	-0.36504211165612926	-0.6228502809928332	-0.6231168738124252
162	-0.373504755452371	-0.6331342356086228	-0.6333614792244265
163	-0.3812153258299115	-0.6422064956771171	-0.6425064341580924
164	-0.38922519583559406	-0.6515611787891746	-0.6518163713320789
165	-0.39647324213567803	-0.6597421508217709	-0.6600749753207465
166	-0.40402132541024	-0.668225057351284	-0.6685090744836383
167	-0.4107688580589492	-0.675538750404956	-0.6759059554227587
168	-0.4175199931200094	-0.6827852872689331	-0.6831729665426637
169	-0.4243952529610439	-0.6901156199057649	-0.6904370740468189
170	-0.43033324634060105	-0.6961771555860585	-0.6966009072180983
171	-0.4366815434063511	-0.7027272120965948	-0.7030788016386745
172	-0.4420895812704749	-0.70804877109335	-0.7085067878826325
173	-0.44791997154691776	-0.7138855972911631	-0.7142662240075862
174	-0.45279861524643894	-0.7185213836434501	-0.7190123474421963
175	-0.4580750364570946	-0.7236591505908656	-0.7240710234066468
176	-0.46239742021491814	-0.727633829140105	-0.728157839252362
177	-0.46712872347209833	-0.7321319828281675	-0.7325726895564227
178	-0.47089018077123823	-0.7354829254956031	-0.7360391667192423
179	-0.4746648433240325	-0.7388946729490107	-0.7394794358048437
180	-0.47861784877692515	-0.7425668941768659	-0.7430413059752291
181	-0.48145506416128975	-0.7449581584019142	-0.7455721266475902
182	-0.48482070804137617	-0.7480432410302665	-0.7485466678649803
183	-0.4870699224176602	-0.7498726282909475	-0.7505178765936833
184	-0.4898495299628915	-0.7524048007929426	-0.7529356008697455
185	-0.4915189879948394	-0.7537054469376107	-0.7543780137165179
186	-0.4937021882590095	-0.7556960796430505	-0.7562533668399006
187	-0.4947760461498625	-0.7564705849669597	-0.7571712705404665
188	-0.495924943199138	-0.7574248404447532	-0.7581500155686386
189	-0.4972778102189575	-0.7587136897295264	-0.7592981587787839
190	-0.4973930357159517	-0.7586447129455227	-0.7593957299351123
191	-0.49813978999770336	-0.7594186236471633	-0.7600272424720731
192	-0.4976655152030448	-0.7588532329454416	-0.7596263254940785
193	-0.49780868348065455	-0.7591186197025056	-0.7597474103096405
194	-0.4967393679416889	-0.758049239301869	-0.7588417614454741
195	-0.49627156155809016	-0.7577952320875124	-0.7584446308606216
196	-0.4946188218133558	-0.7562280437596034	-0.7570370659634251
197	-0.4930741682488356	-0.7548846301086126	-0.7557151692239127
198	-0.49176587133252925	-0.7539287765736539	-0.7545907053549556
199	-0.4891515256036098	-0.7514832184684831	-0.7523303705051513
200	-0.48726004553773966	-0.7500089334982527	-0.7506838914552427
201	-0.48407278362183115	-0.7470346990442135	-0.7478882394500485
202	-0.48157629761973847	-0.7449948771014195	-0.7456797921236057
203	-0.4778201445885812	-0.7414669249453687	-0.7423258916434301
204	-0.47473913144009505	-0.7388552637825206	-0.7395467587231238
205	-0.47042697620098384	-0.7347577328321273	-0.7356143535693161
206	-0.466751969174935	-0.7315290969641707	-0.7322233681938567
207	-0.4618934297290781	-0.7268313426524161	-0.727683956086001
208	-0.4571734101776362	-0.7223483364597703	-0.7232120574138634
209	-0.45270760047464853	-0.7182442080511537	-0.7189244117973932
210	-0.44697051559913353	-0.7124832666770916	-0.7133348296833388
211	-0.44195549863851963	-0.7076996369964637	-0.7083732113430323
212	-0.43571230276468764	-0.7012650061791607	-0.7020972134561417
213	-0.43014698279138514	-0.6957494523162006	-0.6964091001805994
214	-0.42339532135816355	-0.688582135081264	-0.6893891067223124
215	-0.4172966242485364	-0.6822914765215061	-0.6829346598926714
216	-0.4100730039855321	-0.6743733683851427	-0.6751493363213283
217	-0.40300346500765	-0.6666087895061183	-0.6673815933991033
218	-0.3961765861240289	-0.6591426141432223	-0.6597400376041976
219	-0.3881809244024061	-0.6498771401939881	-0.6506135406371266
220	-0.3808926751380711	-0.6415596636942675	-0.6421273654408636
221	-0.37245622818712026	-0.6314149757272377	-0.6321039829763558
222	-0.3646779481021842	-0.6221379550871319	-0.622671135437081
223	-0.35582894340215737	-0.6110762267515923	-0.6117153977758807
224	-0.34760241973502004	-0.6008208769864337	-0.6013152760125419
225	-0.33835007319454635	-0.5887882606914868	-0.589369956998099
226	-0.32966271066290287	-0.577461786085819	-0.5779143086447008
227	-0.32005608663744495	-0.5644517524193547	-0.5649759254987676
228	-0.310584050976296	-0.551435486651188	-0.5519408051322744
229	-0.30134495111955867	-0.5385830051741315	-0.5389608759075657
230	-0.291141054209118	-0.5238805990160259	-0.5243221347036892
231	-0.28151800425316814	-0.509895212157908	-0.5102265509599262
232	-0.2710244307963598	-0.4941587599211604	-0.49453731171017207
233	-0.261032006924964	-0.4790087823801341	-0.4792914522402359
234	-0.2502383628019195	-0.4621752807316826	-0.46249199442421757
235	-0.23991456567062003	-0.4458710241895716	-0.4461067568064912
236	-0.22887275674191526	-0.4279872329752329	-0.42824496247793914
237	-0.21794357561000702	-0.4099951450979297	-0.41022951851835104
238	-0.20718210869709605	-0.3920047216014557	-0.39217199387180923
