bin	input	raw_output	compensated_output	truth_compensated
176	-0.46239742021491814	-0.721344252631552	-0.7104194518852044	-0.7181200641197942
177	-0.46712872347209833	-0.7175530496798059	-0.7126176850584484	-0.7222581882198795
178	-0.47089018077123823	-0.7128201408346541	-0.7179861480557205	-0.7260855079464757
179	-0.4746648433240325	-0.7080325175684539	-0.7194935608843168	-0.7296091811875545
180	-0.47861784877692515	-0.7033370674607702	-0.7266762786761521	-0.732835884527374
181	-0.48145506416128975	-0.6975380033092713	-0.7324233344190259	-0.7357718037798046
182	-0.48482070804137617	-0.6921352119693484	-0.73567804049896	-0.7384226263428271
183	-0.4870699224176602	-0.685634944681636	-0.73808716398742	-0.7407935351050271
184	-0.4898495299628915	-0.6795089661854213	-0.7405883980993437	-0.7428892036595272
185	-0.4915189879948394	-0.6722581160257914	-0.7424247999104788	-0.7447137926052841
186	-0.4937021882590095	-0.6653462608826459	-0.7440449963534264	-0.7462709467397933
187	-0.4947760461498625	-0.6573116554848799	-0.7458181071766844	-0.747563792970923
188	-0.495924943199138	-0.6491925932586573	-0.7466773063468652	-0.7485949387987318
189	-0.4972778102189575	-0.6410869033130789	-0.7479096026509465	-0.7493664712407119
190	-0.4973930357159517	-0.6317193564760948	-0.7482321581821293	-0.7498799560959426
191	-0.49813978999770336	-0.6227477049147365	-0.7489372746535403	-0.7501364374652005
192	-0.4976655152030448	-0.6124959445970205	-0.7487430950178393	-0.7501364374652005
193	-0.49780868348065455	-0.6025888018985404	-0.7489115383810588	-0.7498799560959427
194	-0.4967393679416889	-0.5913887177427799	-0.7482161323373453	-0.7493664712407118
195	-0.49627156155809016	-0.5805146650097225	-0.7475199760854826	-0.7485949387987318
196	-0.4946188218133558	-0.5683574903908505	-0.7468768107502523	-0.747563792970923
197	-0.4930741682488356	-0.5560501705541295	-0.7453826013669629	-0.7462709467397933
198	-0.49176587133252925	-0.543664236508834	-0.7442048251319778	-0.7447137926052844
199	-0.4891515256036098	-0.529916723010106	-0.7421649165435483	-0.7428892036595272
200	-0.48726004553773966	-0.5165209026807082	-0.7404447859343448	-0.740793535105027
201	-0.48407278362183115	-0.5017189327614362	-0.7378347816566027	-0.7384226263428271
202	-0.48157629761973847	-0.4872230512343859	-0.7355478805919008	-0.7357718037798046
203	-0.4778201445885812	-0.4713756750945256	-0.7323699342429657	-0.7328358845273741
204	-0.47473913144009505	-0.4558019043968088	-0.7294972980319778	-0.7296091811875545
205	-0.47042697620098384	-0.43888924904387533	-0.7257327626161215	-0.7260855079464756
206	-0.466751969174935	-0.42219751350074375	-0.7218487800818632	-0.7222581882198795
207	-0.4618934297290781	-0.4042604737491436	-0.7181434429893657	-0.718120064119794
208	-0.4571734101776362	-0.38612819289097244	-0.7133427754741571	-0.7136635080361069
209	-0.45270760047464853	-0.3678622938251231	-0.7089450913433636	-0.7088804366508635
210	-0.44697051559913353	-0.34835025196517344	-0.7034923068897248	-0.7037623277263932
211	-0.44195549863851963	-0.32910103422156156	-0.6984100819058601	-0.6983002400302434
212	-0.43571230276468764	-0.3086760306043068	-0.6922612406677228	-0.6924848367798125
213	-0.43014698279138514	-0.2884485408438631	-0.6864395768781875	-0.6863064130067016
214	-0.42339532135816355	-0.2671460886681851	-0.679577701356976	-0.6797549272543533
215	-0.4172966242485364	-0.2460530759050826	-0.6725546918179992	-0.6728200380314534
216	-0.4100730039855321	-0.22401654308407273	-0.6656607333797426	-0.6654911454467818
217	-0.40300346500765	-0.20187480650737483	-0.6575150823931645	-0.657757438447415
218	-0.3961765861240289	-0.1796169927743348	-0.6497744830438742	-0.6496079480700977
219	-0.3881809244024061	-0.1566226905799104	-0.6408249197868072	-0.6410316070937482
220	-0.3808926751380711	-0.1338428230418999	-0.632188647266451	-0.6320173164479366
221	-0.37245622818712026	-0.11038261714907645	-0.6223661760261819	-0.6225540186862565
222	-0.3646779481021842	-0.08712525311630169	-0.6128011989629386	-0.6126307787732435
223	-0.35582894340215737	-0.06339434830175252	-0.6021093767486021	-0.6022368723574907
224	-0.34760241973502004	-0.039858518190914016	-0.5911045445244992	-0.5913618816105265
225	-0.33835007319454635	-0.01595517609598485	-0.5802214673759672	-0.5799957985998592
