level_dbfs	freq_hz	thd_pct	in_column
-22.2857142857	3393.23479955	0.196413807085	0
-22.2857142857	4445.90761813	0.194645670097	0
-22.2857142857	5825.14789473	0.195483819123	0
-22.2857142857	7632.26564968	0.00181131729894	0
-22.2857142857	10000	0.0144371673406	0
-17.1428571429	20	4.17816010665	0
-17.1428571429	26.2045386232	0.624686099853	0
-17.1428571429	34.3338922229	0.631501598322	0
-17.1428571429	44.985190242	0.631420862834	0
-17.1428571429	58.9408077585	0.631399877279	0
-17.1428571429	77.2258336697	0.631581977636	0
-17.1428571429	101.183367055	0.631379333409	0
-17.1428571429	132.573172502	0.631348009303	0
-17.1428571429	173.700940961	0.631411851606	0
-17.1428571429	227.587650816	0.631466949056	1
-17.1428571429	298.191469299	0.631371491853	0
-17.1428571429	390.698493718	0.631205780268	0
-17.1428571429	511.903688434	0.631290609797	0
-17.1428571429	670.709998748	0.631728912473	0
-17.1428571429	878.782303359	0.631261638357	0
-17.1428571429	1151.40424049	0.631369988915	0
-17.1428571429	1508.60084454	0.63160945665	0
-17.1428571429	1976.6094549	0.63135945604	0
-17.1428571429	2589.80694019	0.631560234671	0
-17.1428571429	3393.23479955	0.6305425598	0
-17.1428571429	4445.90761813	0.631145490518	0
-17.1428571429	5825.14789473	0.632567821051	0
-17.1428571429	7632.26564968	0.00154632420251	0
-17.1428571429	10000	0.00865560749395	0
-12	20	4.50003695863	0
-12	26.2045386232	1.95569656027	0
-12	34.3338922229	1.97945689419	0
-12	44.985190242	1.97945951089	0
-12	58.9408077585	1.97934591676	0
-12	77.2258336697	1.97935299416	0
-12	101.183367055	1.97931552576	0
-12	132.573172502	1.97941098109	0
-12	173.700940961	1.97939114568	0
-12	227.587650816	1.97946987386	1
-12	298.191469299	1.9793531926	0
-12	390.698493718	1.97931612611	0
-12	511.903688434	1.97937152473	0
-12	670.709998748	1.97955995942	0
-12	878.782303359	1.97936062072	0
-12	1151.40424049	1.97920289082	0
-12	1508.60084454	1.97930283992	0
-12	1976.6094549	1.97944612601	0
-12	2589.80694019	1.97918811086	0
-12	3393.23479955	1.97951516354	0
-12	4445.90761813	1.97880937802	0
-12	5825.14789473	1.97861021821	0
-12	7632.26564968	0.000804970129938	0
-12	10000	0.00468343591741	0
