t_s	carried	independent
-0.0688333333333	-0.0654565331952	-0.0654565331952
-0.0686666666667	-0.0654123199757	-0.0654123199757
-0.0685	-0.0653524645894	-0.0653524645894
-0.0683333333333	-0.065285700488	-0.065285700488
-0.0681666666667	-0.06524279531	-0.06524279531
-0.068	-0.0651919632582	-0.0651919632582
-0.0678333333333	-0.0651252141305	-0.0651252141305
-0.0676666666667	-0.0650755301673	-0.0650755301673
-0.0675	-0.0650358113801	-0.0650358113801
-0.0673333333333	-0.0649924938697	-0.0649924938697
-0.0671666666667	-0.0649335162792	-0.0649335162792
-0.067	-0.0648651374535	-0.0648651374535
-0.0668333333333	-0.0648103364847	-0.0648103364847
-0.0666666666667	-0.0647858587989	-0.0647858587989
-0.0665	-0.0647172627729	-0.0647172627729
-0.0663333333333	-0.0646742671514	-0.0646742671514
-0.0661666666667	-0.0646172518145	-0.0646172518145
-0.066	-0.0645477795105	-0.0645477795105
-0.0658333333333	-0.0644944749096	-0.0644944749096
-0.0656666666667	-0.0644651911387	-0.0644651911387
-0.0655	-0.0643933433571	-0.0643933433571
-0.0653333333333	-0.0643643141779	-0.0643643141779
-0.0651666666667	-0.064296466365	-0.064296466365
-0.065	-0.0642632568451	-0.0642632568451
-0.0648333333333	-0.0642073946208	-0.0642073946208
-0.0646666666667	-0.0641672205566	-0.0641672205566
-0.0645	-0.0641053538258	-0.0641053538258
-0.0643333333333	-0.0640576888224	-0.0640576888224
-0.0641666666667	-0.0639993608745	-0.0639993608745
-0.064	-0.0639327397363	-0.0639327397363
-0.0638333333333	-0.063904665705	-0.063904665705
-0.0636666666667	-0.0638421901832	-0.0638421901832
-0.0635	-0.063778802985	-0.063778802985
-0.0633333333333	-0.0637374722539	-0.0637374722539
-0.0631666666667	-0.0636903826855	-0.0636903826855
-0.063	-0.0636380959097	-0.0636380959097
-0.0628333333333	-0.0635675003983	-0.0635675003983
-0.0626666666667	-0.0635264148492	-0.0635264148492
-0.0625	-0.0634627870324	-0.0634627870324
-0.0623333333333	-0.0634023431117	-0.0634023431117
-0.0621666666667	-0.0633684174536	-0.0633684174536
-0.062	-0.0633312878548	-0.0633312878548
-0.0618333333333	-0.0632632013874	-0.0632632013874
-0.0616666666667	-0.0632293190496	-0.0632293190496
-0.0615	-0.0631619797474	-0.0631619797474
-0.0613333333333	-0.0631082157578	-0.0631082157578
-0.0611666666667	-0.0630749090932	-0.0630749090932
-0.061	-0.0630459401221	-0.0630459401221
-0.0608333333333	-0.0629701481045	-0.0629701481045
-0.0606666666667	-0.0629320628414	-0.0629320628414
-0.0605	-0.0628622371082	-0.0628622371082
-0.0603333333333	-0.062809408159	-0.062809408159
-0.0601666666667	-0.0627593879365	-0.0627593879365
-0.06	-0.0627107466627	-0.0627107466627
-0.0598333333333	-0.0626505379008	-0.0626505379008
-0.0596666666667	-0.0626031777412	-0.0626031777412
-0.0595	-0.0625421183378	-0.0625421183378
-0.0593333333333	-0.0624982762353	-0.0624982762353
-0.0591666666667	-0.0624605452792	-0.0624605452792
-0.059	-0.0624007383795	-0.0624007383795
-0.0588333333333	-0.0623612552627	-0.0623612552627
-0.0586666666667	-0.0623000315794	-0.0623000315794
-0.0585	-0.0622460045021	-0.0622460045021
-0.0583333333333	-0.0622178075162	-0.0622178075162
-0.0581666666667	-0.0621500418893	-0.0621500418893
-0.058	-0.062088455811	-0.062088455811
-0.0578333333333	-0.0620527437225	-0.0620527437225
-0.0576666666667	-0.0619894651637	-0.0619894651637
-0.0575	-0.061936705317	-0.061936705317
-0.0573333333333	-0.0618908884639	-0.0618908884639
-0.0571666666667	-0.0618552139247	-0.0618552139247
-0.057	-0.0617971409377	-0.0617971409377
-0.0568333333333	-0.0617517783508	-0.0617517783508
-0.0566666666667	-0.0616923069742	-0.0616923069742
-0.0565	-0.0616249375565	-0.0616249375565
-0.0563333333333	-0.0615949760999	-0.0615949760999
-0.0561666666667	-0.0615368545931	-0.0615368545931
-0.056	-0.0614868234478	-0.0614868234478
